"microbe","disease","sign","effect"
"ACK M1","hyperglycemia","-1","decrease"
"Abiotrophia","Chronic Obstructive Pulmonary Disease","1","increase"
"Abiotrophia","Laryngeal carcinoma","1","increase"
"Abiotrophia","Obstructive sleep apnea-hypopnea syndrome","1","increase"
"Abiotrophia","Oral lichen planus","-1","decrease"
"Abiotrophia","Otitis Media","-1","decrease"
"Abiotrophia","Preeclamsia","1","increase"
"Abiotrophia","Sjögren Syndrome","-1","decrease"
"Abiotrophia","Smoking","-1","decrease"
"Abiotrophia","lung cancer","1","increase"
"Abiotrophia","periodontitis","-1","decrease"
"Absiella innocuum","Sarcopenia","1","increase"
"Acetanaerobacterium elongatum","Type 1 Diabetes","-1","decrease"
"Acetivibrio","Fibromyalgia","1","increase"
"Acetivibrio","Gestational diabetes","-1","decrease"
"Acetivibrio","Hepatitis C","-1","decrease"
"Acetonema","Type 1 diabetes","-1","decrease"
"Acholeplasma","Neuromyelitis optica","1","increase"
"Acholeplasma","Obesity","-1","decrease"
"Achromobacter","Gastric carcinoma","1","increase"
"Achromobacter","HIV infection","1","increase"
"Achromobacter","Oral lichen planus","1","increase"
"Achromobacter","Rheumatoid Arthritis","-1","decrease"
"Achromobacter","squamous cell carcinoma","1","increase"
"Achromobacter","ulcerative colitis","1","increase"
"Achromobacter xylosoxidans","cystic fibrosis","1","increase"
"Acidaminobacter","Colorectal cancer","1","increase"
"Acidaminococcaceae","obesity","1","increase"
"Acidaminococcus","Adolescent idiopathic scoliosis","-1","decrease"
"Acidaminococcus","Alcoholism","1","increase"
"Acidaminococcus","Asthma","1","increase"
"Acidaminococcus","Behcet's Disease","1","increase"
"Acidaminococcus","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy","-1","decrease"
"Acidaminococcus","Cirrhosis","-1","decrease"
"Acidaminococcus","Crohn's Disease","1","increase"
"Acidaminococcus","Hepatocellular cancer","-1","decrease"
"Acidaminococcus","Infantile eczema","-1","decrease"
"Acidaminococcus","Keratitis","-1","decrease"
"Acidaminococcus","Myasthenia gravis","1","increase"
"Acidaminococcus","Non-alcoholic fatty liver disease","-1","decrease"
"Acidaminococcus","Pancreatic cancer","1","increase"
"Acidaminococcus","Parkinson's Disease","1","increase"
"Acidaminococcus","Posttraumatic stress syndrome","1","increase"
"Acidaminococcus","Pouchitis","-1","decrease"
"Acidaminococcus","Primary sclerosing cholangitis-IBD","1","increase"
"Acidaminococcus","Type 1 Diabetes","-1","decrease"
"Acidaminococcus","Type 1 diabetes mellitus","-1","decrease"
"Acidaminococcus","Type 2 Diabetes","1","increase"
"Acidaminococcus","periodontitis","1","increase"
"Acidaminococcus fermentans","HIV infection","1","increase"
"Acidimicrobiales","Keratitis","1","increase"
"Acidimicrobiales","fungal Keratitis","1","increase"
"Acidiphilium","Behcet's Disease","-1","decrease"
"Aciditerrimonas","Obstructive sleep apnea-hypopnea syndrome","-1","decrease"
"Acidobacteria","Autism spectrum disorders","1","increase"
"Acidobacteria","Influenza A","1","increase"
"Acidobacteria","Obstructive sleep apnea-hypopnea syndrome","-1","decrease"
"Acidobacteria","Primary biliary cirrhosis","-1","decrease"
"Acidobacteria","Systemic lupus erythematosus","-1","decrease"
"Acidobacteria","intestinal metabolic perturbation","-1","decrease"
"Acidobacteria","obesity","-1","decrease"
"Acidobacteriaceae","Appendicitis","-1","decrease"
"Acidobacteriaceae","Irritable bowel syndrome(IBS)","1","increase"
"Acidocella","Colorectal cancer","-1","decrease"
"Acidovorax","Alzheimer's Disease","1","increase"
"Acidovorax","Colorectal cancer","-1","decrease"
"Acidovorax","Inflammatory Bowel Disease","1","increase"
"Acidovorax","Interstitial cystitis","-1","decrease"
"Acidovorax","Kidney stone with hypertension","-1","decrease"
"Acidovorax","Lung cancer","-1","decrease"
"Acidovorax","Obesity","-1","decrease"
"Acinetobacter","Acute fatty liver","1","increase"
"Acinetobacter","Alcoholic hepatitis","-1","decrease"
"Acinetobacter","Alzheimer's Disease","-1","decrease"
"Acinetobacter","Asthma","-1","decrease"
"Acinetobacter","Autism spectrum disorders","1","increase"
"Acinetobacter","Bacterial vaginosis","1","increase"
"Acinetobacter","Bladder cancer","1","increase"
"Acinetobacter","COPD Exacerbation","1","increase"
"Acinetobacter","Caries","1","increase"
"Acinetobacter","Celiac Disease, Coaliac disease","-1","decrease"
"Acinetobacter","Chronic Obstructive Pulmonary Disease","-1","decrease"
"Acinetobacter","Chronic alcoholic pancreatitis","1","increase"
"Acinetobacter","Chronic kidney disease","1","increase"
"Acinetobacter","Chronic mucocutaneous candidiasis","1","increase"
"Acinetobacter","Colorectal cancer","-1","decrease"
"Acinetobacter","Constipation","1","increase"
"Acinetobacter","Coronary artery disease","-1","decrease"
"Acinetobacter","Crohn's Disease","1","increase"
"Acinetobacter","Crohns disease","1","increase"
"Acinetobacter","Endometriosis","1","increase"
"Acinetobacter","Excessive vomiting","1","increase"
"Acinetobacter","Gastric cancer","1","increase"
"Acinetobacter","Gastric carcinoma","-1","decrease"
"Acinetobacter","Generalized anxiety disorder","-1","decrease"
"Acinetobacter","Gestational diabetes","-1","decrease"
"Acinetobacter","HIV infection","1","increase"
"Acinetobacter","Helicobacter pylori infection","1","increase"
"Acinetobacter","Henoch-Schönlein Purpura","-1","decrease"
"Acinetobacter","Hepatitis C","1","increase"
"Acinetobacter","Huntington's Disease","1","increase"
"Acinetobacter","Hyper IgE syndrome","1","increase"
"Acinetobacter","Idiopathic central precocious puberty","1","increase"
"Acinetobacter","Infant colic","1","increase"
"Acinetobacter","Influenza A","1","increase"
"Acinetobacter","Invasive pneumococcal disease","1","increase"
"Acinetobacter","Kidney stone","1","increase"
"Acinetobacter","Laryngotracheal stenosis","1","increase"
"Acinetobacter","Myasthenia gravis","1","increase"
"Acinetobacter","Obesity","-1","decrease"
"Acinetobacter","Osmotic diarrhea","1","increase"
"Acinetobacter","Otitis Media","-1","decrease"
"Acinetobacter","Pancreatitis","-1","decrease"
"Acinetobacter","Parkinson's Disease","1","increase"
"Acinetobacter","Pelvic inflammatory disease","1","increase"
"Acinetobacter","Pneumonia","-1","decrease"
"Acinetobacter","Primary sclerosing cholangitis-IBD","1","increase"
"Acinetobacter","Pulmonary tubercolosis","1","increase"
"Acinetobacter","Rectal Carcinoma","-1","decrease"
"Acinetobacter","Rheumatoid Arthritis","-1","decrease"
"Acinetobacter","Short Bowel Syndrome","-1","decrease"
"Acinetobacter","Skin and mucosal infections","1","increase"
"Acinetobacter","Stevens-Johnson syndrome","1","increase"
"Acinetobacter","T2D with hypertension and hyperlipidemia","-1","decrease"
"Acinetobacter","Type 2 Diabetes","-1","decrease"
"Acinetobacter","Urogenital Schistosomiasis","1","increase"
"Acinetobacter","allergy","-1","decrease"
"Acinetobacter","colorectal adenomas","1","increase"
"Acinetobacter","diverticular disease","1","increase"
"Acinetobacter","irritable bowel syndrome","-1","decrease"
"Acinetobacter","lung cancer","-1","decrease"
"Acinetobacter","metabolic syndrome","-1","decrease"
"Acinetobacter","ovarian cancer","1","increase"
"Acinetobacter","pancreatic head cancer","1","increase"
"Acinetobacter","rectal cancer","-1","decrease"
"Acinetobacter antiviralis","Aggressive periodontitis","-1","decrease"
"Acinetobacter antiviralis","periodontitis","-1","decrease"
"Acinetobacter baumannii","Aggressive periodontitis","-1","decrease"
"Acinetobacter baumannii","Breast cancer","-1","decrease"
"Acinetobacter baumannii","periodontitis","-1","decrease"
"Acinetobacter calcoaceticus","Aggressive periodontitis","-1","decrease"
"Acinetobacter calcoaceticus","periodontitis","-1","decrease"
"Acinetobacter gerneri","Aggressive periodontitis","-1","decrease"
"Acinetobacter gerneri","periodontitis","-1","decrease"
"Acinetobacter guillouiae","Endometriosis","1","increase"
"Acinetobacter johnsonii","Diaper dermatitis","-1","decrease"
"Acinetobacter johnsonii","Kidney stone","1","increase"
"Acinetobacter johnsonii","diet-induced obesity","-1","decrease"
"Acinetobacter junii","Hepatitis B associated liver failure","1","increase"
"Acinetobacter lwoffii","Diaper dermatitis","1","increase"
"Acinetobacter radioresistens","Breast cancer","-1","decrease"
"Acinetobacter rhizosphaerae","Aggressive periodontitis","-1","decrease"
"Acinetobacter rhizosphaerae","periodontitis","-1","decrease"
"Acremonium","Colorectal cancer","1","increase"
"Acremonium","Dandruff","-1","decrease"
"Acroconidiella","Uveitits","-1","decrease"
"Actinobacillus","Asthma","-1","decrease"
"Actinobacillus","Caries","-1","decrease"
"Actinobacillus","Chagas' disease","1","increase"
"Actinobacillus","Chronic Obstructive Pulmonary Disease","-1","decrease"
"Actinobacillus","Colorectal cancer","1","increase"
"Actinobacillus","Coronary artery disease","1","increase"
"Actinobacillus","Crohn's disease","1","increase"
"Actinobacillus","Oral cancer","-1","decrease"
"Actinobacillus","Otitis Media","1","increase"
"Actinobacillus","Recurrent aphthous stomatitis ","1","increase"
"Actinobacillus","Schizophrenia","-1","decrease"
"Actinobacillus","Smoking","1","increase"
"Actinobacillus","Tetratricopeptide repeat domain 7A deficiency","1","increase"
"Actinobacillus","Type 1 diabetes","1","increase"
"Actinobacillus","X-linked inhibitor of apoptosis deficiency","1","increase"
"Actinobacillus","non-celiac gluten sensitivity","1","increase"
"Actinobacillus actinomycetemcomitans serotype a","periodontitis","1","increase"
"Actinobacillus pleuropneumoniae","Aphthous ulcer","1","increase"
"Actinobacillus pleuropneumoniae","Primary biliary cirrhosis","1","increase"
"Actinobacteria","Alcoholism","-1","decrease"
"Actinobacteria","Alopecia areata","-1","decrease"
"Actinobacteria","Alzheimer disease","1","increase"
"Actinobacteria","Alzheimers disease","1","increase"
"Actinobacteria","Bacterial Vaginosis","1","increase"
"Actinobacteria","Bullous pemphigoid","-1","decrease"
"Actinobacteria","Cardiovascular disease","1","increase"
"Actinobacteria","Cirrhosis","-1","decrease"
"Actinobacteria","Clostridium difficile associated disease","1","increase"
"Actinobacteria","Colon adenomas","1","increase"
"Actinobacteria","Crohn's disease","1","increase"
"Actinobacteria","Cystic Fibrosis","1","increase"
"Actinobacteria","Disease-free ","-1","decrease"
"Actinobacteria","Graft-versus-host-disease","1","increase"
"Actinobacteria","HIV-infected pneumonia","1","increase"
"Actinobacteria","Helicobacter pylori infection","-1","decrease"
"Actinobacteria","Hepatitis B","-1","decrease"
"Actinobacteria","Hepatitis B associated liver failure","-1","decrease"
"Actinobacteria","Hepatocellular cancer","1","increase"
"Actinobacteria","Human end-stage renal disease","-1","decrease"
"Actinobacteria","Inflammatory bowel disease(IBD)","-1","decrease"
"Actinobacteria","Late onset sepsis","-1","decrease"
"Actinobacteria","Liver fibrosis","-1","decrease"
"Actinobacteria","Metabolic syndrome","1","increase"
"Actinobacteria","Multiple Sclerosis","1","increase"
