"disease","disease_disbiome_author_svd64_000","disease_disbiome_author_svd64_001","disease_disbiome_author_svd64_002","disease_disbiome_author_svd64_003","disease_disbiome_author_svd64_004","disease_disbiome_author_svd64_005","disease_disbiome_author_svd64_006","disease_disbiome_author_svd64_007","disease_disbiome_author_svd64_008","disease_disbiome_author_svd64_009","disease_disbiome_author_svd64_010","disease_disbiome_author_svd64_011","disease_disbiome_author_svd64_012","disease_disbiome_author_svd64_013","disease_disbiome_author_svd64_014","disease_disbiome_author_svd64_015","disease_disbiome_author_svd64_016","disease_disbiome_author_svd64_017","disease_disbiome_author_svd64_018","disease_disbiome_author_svd64_019","disease_disbiome_author_svd64_020","disease_disbiome_author_svd64_021","disease_disbiome_author_svd64_022","disease_disbiome_author_svd64_023","disease_disbiome_author_svd64_024","disease_disbiome_author_svd64_025","disease_disbiome_author_svd64_026","disease_disbiome_author_svd64_027","disease_disbiome_author_svd64_028","disease_disbiome_author_svd64_029","disease_disbiome_author_svd64_030","disease_disbiome_author_svd64_031","disease_disbiome_author_svd64_032","disease_disbiome_author_svd64_033","disease_disbiome_author_svd64_034","disease_disbiome_author_svd64_035","disease_disbiome_author_svd64_036","disease_disbiome_author_svd64_037","disease_disbiome_author_svd64_038","disease_disbiome_author_svd64_039","disease_disbiome_author_svd64_040","disease_disbiome_author_svd64_041","disease_disbiome_author_svd64_042","disease_disbiome_author_svd64_043","disease_disbiome_author_svd64_044","disease_disbiome_author_svd64_045","disease_disbiome_author_svd64_046","disease_disbiome_author_svd64_047","disease_disbiome_author_svd64_048","disease_disbiome_author_svd64_049","disease_disbiome_author_svd64_050","disease_disbiome_author_svd64_051","disease_disbiome_author_svd64_052","disease_disbiome_author_svd64_053","disease_disbiome_author_svd64_054","disease_disbiome_author_svd64_055","disease_disbiome_author_svd64_056","disease_disbiome_author_svd64_057","disease_disbiome_author_svd64_058","disease_disbiome_author_svd64_059","disease_disbiome_author_svd64_060","disease_disbiome_author_svd64_061","disease_disbiome_author_svd64_062","disease_disbiome_author_svd64_063"
"AA amyloidosis","1.3445722","-0.0494383","-0.104966365","-0.05790934","0.040533252","0.046392754","-0.012756858","-0.12574342","0.019733194","0.01500865","-0.11632919","-0.17649783","-0.10525385","0.055831354","-0.007157807","-0.32560822","-0.06101297","-0.16644081","0.09697399","-0.09398084","-0.3588292","-0.45673165","-1.5466361","0.2920618","-1.9661399","0.8750096","0.9054214","0.55424553","-0.8913487","0.13310508","0.29096657","-0.0914505","-0.31774354","0.390984","-0.8320029","-1.3075362","0.5033036","-0.39454722","1.0002903","-0.46118346","1.068512","-0.26826337","1.1665682","0.36631152","-0.42173162","-0.7378849","-0.79597884","2.9925337","-1.2981938","-0.28384602","-0.96051705","0.6062215","1.1151584","-1.561046","0.20821336","-3.085279","-1.3178352","0.20970723","0.29271066","1.0662966","-1.8383242","0.7636467","-1.8092275","-0.19878817"
"ADHD","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Acne","0.77498865","0.027231915","0.07719489","-0.03453454","-0.00033979065","0.002438224","0.053160034","0.04883655","-0.04093796","-0.063170426","0.012963654","0.013459143","0.11133473","-0.18715712","-0.30812746","0.34194347","0.28382778","-0.018028682","0.8151693","-0.0789808","0.97294647","0.48764834","2.3728216","1.0167197","-0.9509682","0.6905019","-1.1705924","-1.6874831","-0.9112177","-0.58288914","3.2598648","0.9319202","-2.0757163","-1.4239392","-0.34949493","-2.208314","-0.21778597","1.4951944","-1.5828105","3.7350628","-2.7045982","2.9816723","-1.5319628","1.8201935","-1.0506253","0.2817953","-1.6228693","2.7388122","3.4034421","-0.80187947","1.3138117","1.1398228","-0.7519297","0.36251912","0.77310795","1.7921911","1.7702057","-0.21039388","0.7556762","0.29732278","0.62815654","-0.5776188","-2.1978862","-1.346207"
"Acquired Immunodeficiency Syndrome","1.1525303","0.021902027","-0.11208685","0.026372466","0.029937547","-0.03291008","0.048031468","-0.0518522","0.029337188","0.39069983","-0.13702005","0.007727805","0.017942287","0.10156615","0.103515014","0.2443805","-0.1862753","0.14988577","-0.8151334","0.37991318","-1.1966276","1.0010939","-0.04288289","1.1385291","-2.1696126","-0.5164643","-1.3476009","0.38528427","-3.3203237","1.1933813","-1.1505845","1.5588049","-1.5078905","-0.49068734","-0.70861095","2.9615638","0.4780479","0.44857368","1.6946908","-1.2089932","1.5324738","-0.11480801","0.16450194","-2.6742413","-2.9385474","1.6556044","-0.88332665","1.3077984","-0.523785","0.24776806","-2.686804","1.6530639","-0.09252032","-1.9658837","-0.3718063","-2.6976404","0.4240168","1.9323659","0.17946115","1.9302315","1.458843","-0.293049","0.9895746","-1.7155546"
"Acute Lymphoblastic Leukemia","1.1307689","-0.15362641","-0.046539713","0.016358001","0.034642193","-0.020944323","-0.0502375","-0.06410129","-0.026254445","-0.10741695","0.019786913","-0.103577964","-0.064277366","-0.06479628","-0.08293852","0.044022962","-0.18691708","0.29822016","0.005417353","0.6880121","0.34338146","-0.762214","0.9408066","-0.69868493","0.36077514","-0.17598262","-0.13289255","0.4931527","-1.3050009","0.5478135","-0.29996637","-0.014273247","-1.2208937","-1.1485206","-3.525185","2.5907133","0.66265184","1.2335154","-0.17891668","2.1879635","0.9660778","0.5040713","0.92228895","-0.8034187","1.6220422","0.5217567","-3.0149596","0.20280516","0.87400424","-0.99606574","0.6746751","0.4585593","0.7998706","-1.322967","0.747621","-1.0701431","-0.12790826","-0.40831017","-0.7213018","-0.98825693","-0.3198185","-0.89938647","0.9316279","-0.35036552"
"Acute cerbral infarction","1.1172575","-0.39890966","-0.16772544","0.036368184","-0.033051874","-0.01612872","-0.13382308","-0.20451222","-0.011110124","-0.0652437","-0.14482923","-0.15644993","0.004775514","-0.31112728","-0.51667535","-0.42652887","-0.07602301","-0.08294741","-0.9247962","-0.8163387","1.6640395","0.31373665","-2.579897","1.1011239","0.86296594","-0.25388506","0.52384067","0.29372174","-0.29462004","1.6564069","0.5811442","-1.4308419","0.59692353","3.4348674","-0.055808846","-1.5174131","1.0382334","-1.5530349","1.8817149","-2.96066","0.37937754","1.685319","1.6081378","-2.2605875","1.385461","-1.5341394","0.8403424","2.329489","1.3519338","-3.6139297","2.7298706","-1.0850399","1.2068211","-0.081179015","0.17849648","0.3920453","1.9734823","0.91532844","-0.044357974","-2.0442832","2.9086418","-0.48593765","1.161171","2.349538"
"Acute cholecystitis","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Acute fatty liver","1.2416966","-0.1846441","-0.08898308","0.017523088","-0.02805201","-0.004115541","-0.045772318","-0.0415364","-0.009837551","-0.07226822","0.051520932","-0.03687073","0.12605986","-0.025296051","0.21001527","0.19467507","0.056382816","-0.08010683","0.10556385","0.04523908","0.9270173","0.105826415","2.0983686","0.48421752","1.6476885","-0.20830114","0.6556255","-0.6830686","-0.2356368","1.097543","-1.4684376","1.1782633","-2.7896745","-0.59365","-1.9396968","-3.755239","-0.3034081","0.26778945","0.16702661","2.0844898","1.5975239","-1.5550693","1.2027348","0.26039287","-1.1937912","-2.577301","0.3829487","0.36235204","-1.8905665","-2.1148574","0.5440092","0.53126013","-1.7958317","1.1378906","0.24585257","-2.9398134","0.12474248","-0.68264776","-0.30490932","-0.68125063","-0.8493469","-0.27366608","0.35915345","-1.9960344"
"Acute lymphoblastic leukemia","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Acute skin abscess","1.1450486","-0.37507942","-0.1721526","-0.014390311","-0.032352306","-0.017066693","-0.17372453","-0.20417257","-0.064841226","-0.09619428","-0.2633411","-0.16959819","-0.12519102","-0.27951348","-0.23747453","-0.46881518","-0.015081953","-0.52853614","-0.8514973","-0.5160852","-0.37249717","-1.0399945","-1.1616688","1.3116019","0.9781522","-0.60320044","-0.41544324","1.3182743","0.487387","-0.40067","-1.399033","-0.7554234","1.7582967","0.42543173","1.506735","-0.5990524","-1.7044462","-0.56297475","0.052956764","1.8370463","-1.3193809","3.394988","2.3676403","1.2384952","-0.020314876","0.20130806","0.31510866","-0.33082023","0.38891035","0.36890477","1.4785919","0.7710807","-2.1110108","0.22257262","2.1802292","-0.6215869","-3.0042176","1.2320167","-1.5888162","-1.001973","-0.19187778","-1.177423","-0.91490513","-2.2817717"
