"disease","disease_external_has_mesh_id","disease_external_has_mesh_heading","disease_external_has_scientific_name","disease_external_has_hsdn","disease_external_hsdn_symptom_count","disease_external_pubmed_occurrence_sum","disease_external_tfidf_sum"
"AA amyloidosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"ADHD","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acne","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acquired Immunodeficiency Syndrome","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acute Lymphoblastic Leukemia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acute cerbral infarction","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acute cholecystitis","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acute fatty liver","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acute lymphoblastic leukemia","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Acute skin abscess","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Adolescent idiopathic scoliosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Aerobic vaginitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Aggressive periodontitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alcoholic Liver Disease","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alcoholic cirrhosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alcoholic hepatitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alcoholism","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Allergic asthma","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Allergic rhinoconjunctivitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Allergic sensitization","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Allergy","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alopecia areata","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alopecia universalis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alzheimer disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Alzheimer's Disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
