"disease","disease_full_gip_once_000","disease_full_gip_once_001","disease_full_gip_once_002","disease_full_gip_once_003","disease_full_gip_once_004","disease_full_gip_once_005","disease_full_gip_once_006","disease_full_gip_once_007","disease_full_gip_once_008","disease_full_gip_once_009","disease_full_gip_once_010","disease_full_gip_once_011","disease_full_gip_once_012","disease_full_gip_once_013","disease_full_gip_once_014","disease_full_gip_once_015","disease_full_gip_once_016","disease_full_gip_once_017","disease_full_gip_once_018","disease_full_gip_once_019","disease_full_gip_once_020","disease_full_gip_once_021","disease_full_gip_once_022","disease_full_gip_once_023","disease_full_gip_once_024","disease_full_gip_once_025","disease_full_gip_once_026","disease_full_gip_once_027","disease_full_gip_once_028","disease_full_gip_once_029","disease_full_gip_once_030","disease_full_gip_once_031","disease_full_gip_once_032","disease_full_gip_once_033","disease_full_gip_once_034","disease_full_gip_once_035","disease_full_gip_once_036","disease_full_gip_once_037","disease_full_gip_once_038","disease_full_gip_once_039","disease_full_gip_once_040","disease_full_gip_once_041","disease_full_gip_once_042","disease_full_gip_once_043","disease_full_gip_once_044","disease_full_gip_once_045","disease_full_gip_once_046","disease_full_gip_once_047","disease_full_gip_once_048","disease_full_gip_once_049","disease_full_gip_once_050","disease_full_gip_once_051","disease_full_gip_once_052","disease_full_gip_once_053","disease_full_gip_once_054","disease_full_gip_once_055","disease_full_gip_once_056","disease_full_gip_once_057","disease_full_gip_once_058","disease_full_gip_once_059","disease_full_gip_once_060","disease_full_gip_once_061","disease_full_gip_once_062","disease_full_gip_once_063"
"AA amyloidosis","0.8759708","0.61077833","-0.33212227","-0.5929497","-0.21517073","0.46142244","0.5989697","-1.198986","0.63973033","0.4810134","0.91042644","-0.6487565","-0.9259117","0.30022684","-2.1203883","1.004638","-1.1425229","-1.4671409","-1.3915623","0.09997286","-0.6183365","-0.69522566","-2.2642963","0.85900027","2.262299","0.102487415","-1.8821943","0.19744112","0.6510817","3.2403076","-0.7461027","-0.70697576","-1.1257871","0.24054047","-0.11174035","2.5626118","-2.4358091","0.58184475","1.0834435","1.053241","-1.0741783","1.0856087","1.0694163","-0.92857623","1.0633814","-0.5969178","-0.622909","-0.9921725","-0.01710675","-0.71682227","-0.76070166","-1.0596522","0.040153816","0.090542294","-0.07965129","0.13535239","0.2243069","1.1734434","-0.10835324","-0.6171225","0.44381818","0.5664323","-0.15639794","-0.46869737"
"ADHD","0.6862525","0.21354933","-0.0859516","-0.49756375","0.11238446","0.024221878","0.28068286","0.11112766","0.2307782","0.38522598","-0.032770675","-1.2984115","-1.04674","0.72997016","0.8395637","0.18204737","0.42685","0.90620154","0.1280443","-0.754925","-1.1675304","-0.5749212","1.9345064","0.13610263","-0.037688147","-1.4097486","2.0207202","-0.20638648","0.012347098","0.787057","-0.014865548","1.2613468","-2.5735226","-1.7627983","3.800505","-0.78414595","-2.104128","-1.3683869","-1.6612407","2.4597201","1.1088643","1.0395696","0.3331316","0.73045284","-0.6133148","0.9232086","1.2380879","-0.44945827","1.2621386","-0.9779543","-0.58975893","-0.31969672","0.62187016","1.5183632","-0.113851205","-0.90037644","-1.4680355","0.5029384","-1.0262054","-1.403177","-0.96565515","-0.21120028","-0.8103627","-1.6714368"
"Acne","-1.8507203","-0.18059628","0.14572233","-0.34949952","-0.032565635","-0.029730067","0.1418947","0.3198258","0.08979881","-0.20622076","0.14384197","0.12766407","0.118042365","-0.099268444","0.07674963","-0.2018378","0.12041996","0.61097723","0.29223958","0.089612","0.1538819","-0.041122388","-0.13605791","-0.21193153","0.112911634","-0.2862801","-0.0713974","-0.27016085","-0.03846908","-0.32882398","-0.35727182","-0.35422805","-0.39026996","-0.087699465","-0.3456884","0.40748376","0.007213856","-0.30724704","-0.07810083","-0.05747721","-0.040855575","0.01501657","0.115115345","-0.22168253","0.24705143","0.20393325","0.11667701","-0.9374761","1.1351707","0.6783873","-0.42733344","-0.069643505","0.75573677","-1.7628776","1.3842725","-2.5277312","0.86295027","0.28870618","-1.2187449","2.6307495","0.8792582","0.005385274","-2.992945","-0.44018885"
"Acquired Immunodeficiency Syndrome","-1.1707127","0.12170153","-0.38541555","2.6785767","1.0860337","-0.33372018","0.4142446","2.9991317","-0.9000803","-1.2623085","-0.43817618","-1.3215033","0.9936549","-0.95614713","-0.0149635775","0.4803021","0.42062148","-0.18382971","0.3591642","-0.92000276","1.083584","0.2521734","0.5238169","-0.9850838","1.2742767","-0.16599864","-0.609086","0.3964959","0.19677263","-1.5057781","-1.036874","-0.054510325","-2.7315526","-2.3275075","-1.2652558","1.2224965","1.267598","0.96870816","1.3915739","-0.117906146","-1.7371552","-1.3786671","-1.0402552","0.03985127","-0.55840623","1.5247016","-0.83865327","0.29706216","-0.028062796","-0.97344184","0.022991322","3.553597","-0.4048288","0.7544674","-0.8436545","-1.3260782","0.48054138","-0.16752364","-0.09185823","1.9198923","-2.010598","2.8092513","2.4018962","0.42500427"
"Acute Lymphoblastic Leukemia","0.04792123","-0.45551398","0.721249","4.030413","2.097286","3.6863384","-1.1402743","3.435903","-1.4135848","-2.541665","0.74650615","-2.6699162","-0.334816","0.6141828","-1.3245449","1.4546627","-0.28461677","1.2994822","-1.1448607","-1.4414543","0.5371402","0.6169565","0.23402184","-0.36726534","-0.10268468","-0.51406896","0.96062076","0.5151458","0.9875454","1.5474995","-0.5025371","0.3883999","1.4271153","-0.034066953","-0.38273346","-0.03695059","1.6559932","-0.4408385","1.4030826","0.5317031","0.038154975","-0.17069893","1.0707375","-0.6738086","0.24552125","-0.09922724","-0.40025806","-0.29800072","0.077987306","-1.3128247","0.38431162","-1.2425494","-1.1519723","-0.58642006","0.9276333","1.30566","-0.47083154","0.56095254","0.19061328","0.10224608","0.049757443","-0.4495769","0.730873","-1.1769134"
"Acute cerbral infarction","0.68021804","0.20066853","-0.4123738","-0.13066144","0.084782965","0.23026279","0.009053983","-0.22508067","0.083594166","0.16970275","0.030979225","-0.036594834","0.0127491","-0.1885568","-0.0317719","-0.21160862","0.12235867","0.1978303","-0.112833165","-0.24524647","0.0066111917","-0.18672709","-0.42062396","-0.12772036","-0.20628855","0.14903165","0.3871358","-0.045166854","-0.087697886","-0.30343333","-0.37311146","-0.13749754","-0.28115183","0.055507675","-0.15763451","0.8331836","-0.22213908","0.90974665","0.5569492","-1.0375441","1.4666845","-0.06300813","2.126818","0.48920736","-0.5310807","0.8548592","0.48575053","-0.8410751","-1.6074251","-0.45718336","-0.88250583","-0.97128755","-1.6282648","-0.47739816","0.7419732","-0.7966212","-2.2091525","0.26052788","0.86445516","-0.5870516","-0.660753","-0.39231008","0.45251814","0.7031598"
"Acute cholecystitis","0.19126403","-0.5067378","0.22133084","0.16177952","-1.0391885","-0.5125271","-0.44154242","1.4532838","0.90039563","-0.012731769","3.6406176","2.4487934","-0.027281955","0.3803466","-0.06635343","1.371009","0.049511883","-1.6689991","0.94738436","1.3384387","-1.5635695","0.9914806","-0.9265466","-2.1860974","-0.5455023","1.0705673","1.2067927","-3.0013356","0.7626402","0.30321637","-0.11668357","-1.1036396","0.32613608","-0.33416906","0.11354534","-1.045403","-0.03607333","-0.080016375","0.30599046","0.07567744","-0.607439","-0.38890946","0.04785841","-0.06938416","-0.14387976","0.27917048","0.35403675","-0.5309848","-1.0426491","-0.6808722","0.015022228","-0.032505073","-0.5587267","0.13064773","0.03793659","-0.06088842","-0.4389489","-1.0289996","-0.669707","0.33789226","-0.022800801","0.3979037","0.5979178","0.02839177"
"Acute fatty liver","-0.5624819","-0.2186674","-0.16669759","0.92569005","0.6161999","0.087131344","0.20875596","1.7645334","-0.48591617","-0.34848946","-1.7379622","0.23843622","3.0070462","-1.5409155","10.338062","-4.3471184","2.5039322","-3.2439923","3.216172","1.6409111","-1.5348598","0.14836018","-2.5814295","2.4598444","0.4016914","1.4091495","1.4124151","3.720259","2.4296117","4.4424043","-0.37248182","-2.0992103","0.6924311","-2.3410857","-1.2779496","-1.0245074","-0.6523464","-2.4687588","0.8981776","0.17595807","0.31015322","-0.4532618","0.13412565","1.5061893","1.9523482","-1.9197934","-2.2655394","0.11717921","-1.5792943","-0.56713164","-1.2840657","-0.65740854","-0.62737423","-1.0476427","-0.3779","0.04807211","-0.33976144","1.1790828","-0.48587167","0.10604096","-0.2724607","-0.21775271","0.1298319","-0.6096856"
"Acute lymphoblastic leukemia","-0.75018865","-0.70601434","0.83710337","0.36769235","-0.11224752","0.53687865","1.4050162","-0.72072834","-0.961657","-0.6784842","-0.55962336","0.8383748","0.46849307","-0.43752703","1.2242881","0.7519424","-2.5462105","0.052740153","-1.5410159","1.8512414","0.20320894","-0.7766201","-0.71626747","-2.409761","0.043834265","1.8798648","-0.03745746","2.7883317","-0.5102967","-0.30216718","-1.1066507","0.52531844","1.9191415","-3.8846717","2.4745858","1.3865881","-2.8746886","0.45191222","-0.6509197","-1.2864277","0.47486877","-0.5087014","-2.8115382","-2.6028268","2.2914793","1.2032875","5.142895","-0.9637912","-1.3884872","1.4614623","0.27634194","0.992708","0.65096676","-3.2587981","0.11641868","-1.3144445","-0.8902323","-1.2798178","-1.9304112","2.2696073","-0.31791234","-2.4430463","-1.5602502","-0.1984028"
"Acute skin abscess","1.0892373","0.19316049","-0.3654314","-0.25015768","0.038183074","0.26597157","0.2514359","-0.14451489","0.12802902","-0.0020088202","-0.14793916","0.18061796","-0.14263868","-0.30926704","-0.10597462","-0.065661386","-0.21957158","0.14947346","0.10360573","-0.033205826","0.19423918","0.013979965","0.13709888","0.058161527","-0.1868248","0.3270949","0.28513536","-0.110760875","-0.33264223","-0.5500637","0.46451044","-0.27305722","-0.28244594","0.14585508","0.028993662","-0.42470196","-0.05450369","-1.1915698","2.6364126","-2.0957377","1.4798408","3.143082","-2.4370484","0.6744549","0.44243672","1.364822","-0.76496357","-0.30549043","0.6472648","-0.42521086","0.3043747","-0.8166561","-0.12625651","0.42335045","0.27955064","0.09137709","0.19076999","0.2568209","-0.23333961","-0.4785653","-0.2824513","0.33849698","-0.055329632","0.37088704"
