entity_type,block,start_col_0_based,end_col_0_based_inclusive,n_features,source_note
microbe,latent_26_5_29,0,127,128,generated by the repository GIP-profile-SVD128 program
microbe,external_model_valid_z,128,145,18,canonical external information converted to model-valid numeric features and z-scored
microbe,full_gip_once,146,209,64,derived from A_sign only
microbe,peryton_author_svd64,210,273,64,"peryton author similarity matrix mapped into your node universe, SVD-reduced, z-scored, and fused"
microbe,disbiome_author_svd64,274,337,64,"disbiome author similarity matrix mapped into your node universe, SVD-reduced, z-scored, and fused"
microbe,hmdad_author_svd64,338,401,64,"hmdad author similarity matrix mapped into your node universe, SVD-reduced, z-scored, and fused"
disease,latent_26_5_29,0,127,128,generated by the repository GIP-profile-SVD128 program
disease,external_model_valid_z,128,134,7,canonical external information converted to model-valid numeric features and z-scored
disease,full_gip_once,135,198,64,derived from A_sign only
disease,peryton_author_svd64,199,262,64,"peryton author similarity matrix mapped into your node universe, SVD-reduced, z-scored, and fused"
disease,disbiome_author_svd64,263,326,64,"disbiome author similarity matrix mapped into your node universe, SVD-reduced, z-scored, and fused"
disease,hmdad_author_svd64,327,390,64,"hmdad author similarity matrix mapped into your node universe, SVD-reduced, z-scored, and fused"
