"disease","disease_hmdad_author_svd64_000","disease_hmdad_author_svd64_001","disease_hmdad_author_svd64_002","disease_hmdad_author_svd64_003","disease_hmdad_author_svd64_004","disease_hmdad_author_svd64_005","disease_hmdad_author_svd64_006","disease_hmdad_author_svd64_007","disease_hmdad_author_svd64_008","disease_hmdad_author_svd64_009","disease_hmdad_author_svd64_010","disease_hmdad_author_svd64_011","disease_hmdad_author_svd64_012","disease_hmdad_author_svd64_013","disease_hmdad_author_svd64_014","disease_hmdad_author_svd64_015","disease_hmdad_author_svd64_016","disease_hmdad_author_svd64_017","disease_hmdad_author_svd64_018","disease_hmdad_author_svd64_019","disease_hmdad_author_svd64_020","disease_hmdad_author_svd64_021","disease_hmdad_author_svd64_022","disease_hmdad_author_svd64_023","disease_hmdad_author_svd64_024","disease_hmdad_author_svd64_025","disease_hmdad_author_svd64_026","disease_hmdad_author_svd64_027","disease_hmdad_author_svd64_028","disease_hmdad_author_svd64_029","disease_hmdad_author_svd64_030","disease_hmdad_author_svd64_031","disease_hmdad_author_svd64_032","disease_hmdad_author_svd64_033","disease_hmdad_author_svd64_034","disease_hmdad_author_svd64_035","disease_hmdad_author_svd64_036","disease_hmdad_author_svd64_037","disease_hmdad_author_svd64_038","disease_hmdad_author_svd64_039","disease_hmdad_author_svd64_040","disease_hmdad_author_svd64_041","disease_hmdad_author_svd64_042","disease_hmdad_author_svd64_043","disease_hmdad_author_svd64_044","disease_hmdad_author_svd64_045","disease_hmdad_author_svd64_046","disease_hmdad_author_svd64_047","disease_hmdad_author_svd64_048","disease_hmdad_author_svd64_049","disease_hmdad_author_svd64_050","disease_hmdad_author_svd64_051","disease_hmdad_author_svd64_052","disease_hmdad_author_svd64_053","disease_hmdad_author_svd64_054","disease_hmdad_author_svd64_055","disease_hmdad_author_svd64_056","disease_hmdad_author_svd64_057","disease_hmdad_author_svd64_058","disease_hmdad_author_svd64_059","disease_hmdad_author_svd64_060","disease_hmdad_author_svd64_061","disease_hmdad_author_svd64_062","disease_hmdad_author_svd64_063"
"AA amyloidosis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"ADHD","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acne","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acquired Immunodeficiency Syndrome","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acute Lymphoblastic Leukemia","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acute cerbral infarction","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acute cholecystitis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acute fatty liver","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acute lymphoblastic leukemia","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Acute skin abscess","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
