"microbe","microbe_external_has_ncbi_tax_id","microbe_external_has_silva_accession","microbe_external_has_tax_rank","microbe_external_has_experimental_method","microbe_external_has_sample_origin","microbe_external_peryton_row_count","microbe_external_peryton_disease_count","microbe_external_peryton_pmid_count","microbe_external_peryton_method_count","microbe_external_peryton_origin_count","microbe_external_peryton_16s_rows","microbe_external_tax_rank_Class","microbe_external_tax_rank_Family","microbe_external_tax_rank_Genus","microbe_external_tax_rank_Order","microbe_external_tax_rank_Phylum","microbe_external_tax_rank_Species","microbe_external_tax_rank_nan"
"ACK M1","-1.7251766","-1.3700308","-0.8079205","-0.8079205","-0.8079205","-0.64594126","-0.67825854","-0.64059675","-0.7282978","-0.6700486","-0.5664857","-0.093875535","-0.21134944","-0.45643547","-0.08875621","-0.083333336","-0.42969814","0.80714345"
"Abiotrophia","0.57965076","0.7299107","1.2377455","1.2377455","1.2377455","0.74477047","1.1074097","0.89417744","0.6365949","1.2709413","0.90663654","-0.093875535","-0.21134944","2.19089","-0.08875621","-0.083333336","-0.42969814","-1.2389371"
"Absiella innocuum","-1.7251766","-1.3700308","-0.8079205","-0.8079205","-0.8079205","-0.64594126","-0.67825854","-0.64059675","-0.7282978","-0.6700486","-0.5664857","-0.093875535","-0.21134944","-0.45643547","-0.08875621","-0.083333336","-0.42969814","0.80714345"
"Acetanaerobacterium elongatum","0.57965076","0.7299107","-0.8079205","-0.8079205","-0.8079205","-0.64594126","-0.67825854","-0.64059675","-0.7282978","-0.6700486","-0.5664857","-0.093875535","-0.21134944","-0.45643547","-0.08875621","-0.083333336","-0.42969814","0.80714345"
"Acetivibrio","0.57965076","0.7299107","1.2377455","1.2377455","1.2377455","0.049414594","0.21457562","0.12679036","0.6365949","0.30044636","-0.5664857","-0.093875535","-0.21134944","2.19089","-0.08875621","-0.083333336","-0.42969814","-1.2389371"
"Acetonema","-1.7251766","-1.3700308","-0.8079205","-0.8079205","-0.8079205","-0.64594126","-0.67825854","-0.64059675","-0.7282978","-0.6700486","-0.5664857","-0.093875535","-0.21134944","-0.45643547","-0.08875621","-0.083333336","-0.42969814","0.80714345"
"Acholeplasma","0.57965076","0.7299107","1.2377455","1.2377455","1.2377455","0.96862507","1.1074097","0.89417744","0.6365949","1.5833708","1.1437563","-0.093875535","-0.21134944","2.19089","-0.08875621","-0.083333336","-0.42969814","-1.2389371"
"Achromobacter","0.57965076","0.7299107","1.2377455","1.2377455","1.2377455","1.1515275","1.3948382","1.1412209","1.435006","1.2709413","1.1437563","-0.093875535","-0.21134944","2.19089","-0.08875621","-0.083333336","-0.42969814","-1.2389371"
"Achromobacter xylosoxidans","-1.7251766","-1.3700308","-0.8079205","-0.8079205","-0.8079205","-0.64594126","-0.67825854","-0.64059675","-0.7282978","-0.6700486","-0.5664857","-0.093875535","-0.21134944","-0.45643547","-0.08875621","-0.083333336","-0.42969814","0.80714345"
"Acidaminobacter","0.57965076","0.7299107","-0.8079205","-0.8079205","-0.8079205","-0.64594126","-0.67825854","-0.64059675","-0.7282978","-0.6700486","-0.5664857","-0.093875535","-0.21134944","-0.45643547","-0.08875621","-0.083333336","-0.42969814","0.80714345"
