"microbe","microbe_full_gip_once_000","microbe_full_gip_once_001","microbe_full_gip_once_002","microbe_full_gip_once_003","microbe_full_gip_once_004","microbe_full_gip_once_005","microbe_full_gip_once_006","microbe_full_gip_once_007","microbe_full_gip_once_008","microbe_full_gip_once_009","microbe_full_gip_once_010","microbe_full_gip_once_011","microbe_full_gip_once_012","microbe_full_gip_once_013","microbe_full_gip_once_014","microbe_full_gip_once_015","microbe_full_gip_once_016","microbe_full_gip_once_017","microbe_full_gip_once_018","microbe_full_gip_once_019","microbe_full_gip_once_020","microbe_full_gip_once_021","microbe_full_gip_once_022","microbe_full_gip_once_023","microbe_full_gip_once_024","microbe_full_gip_once_025","microbe_full_gip_once_026","microbe_full_gip_once_027","microbe_full_gip_once_028","microbe_full_gip_once_029","microbe_full_gip_once_030","microbe_full_gip_once_031","microbe_full_gip_once_032","microbe_full_gip_once_033","microbe_full_gip_once_034","microbe_full_gip_once_035","microbe_full_gip_once_036","microbe_full_gip_once_037","microbe_full_gip_once_038","microbe_full_gip_once_039","microbe_full_gip_once_040","microbe_full_gip_once_041","microbe_full_gip_once_042","microbe_full_gip_once_043","microbe_full_gip_once_044","microbe_full_gip_once_045","microbe_full_gip_once_046","microbe_full_gip_once_047","microbe_full_gip_once_048","microbe_full_gip_once_049","microbe_full_gip_once_050","microbe_full_gip_once_051","microbe_full_gip_once_052","microbe_full_gip_once_053","microbe_full_gip_once_054","microbe_full_gip_once_055","microbe_full_gip_once_056","microbe_full_gip_once_057","microbe_full_gip_once_058","microbe_full_gip_once_059","microbe_full_gip_once_060","microbe_full_gip_once_061","microbe_full_gip_once_062","microbe_full_gip_once_063"
"ACK M1","0.7129779","-0.00779845","-0.03948238","-0.043303054","-0.108560696","-0.033368785","-0.0042553544","-0.07689274","-0.035853352","0.0051222267","0.01198471","-0.118543856","0.06412491","-0.059891608","-0.08587392","-0.019414974","-0.09925281","-0.079022616","-0.12022268","-0.06332613","-0.053789377","0.021435987","-0.03206877","-0.016171547","0.020360136","-0.05022786","0.038988337","-0.10259019","0.043036617","-0.06710113","-0.087775916","-0.04059662","-0.06424852","-0.022759417","-0.035070896","-0.047834963","0.0973197","-0.05675237","-0.10160221","0.11352933","-0.0207305","-0.035468597","-0.07098224","-0.036125764","-0.04822732","-0.0053003817","-0.054918136","-0.04376546","0.0027512584","0.044064112","-0.19376747","-0.15229963","-0.086433634","-0.067214854","-0.034083255","0.09231179","0.0952428","-0.18301745","-0.05853456","0.04923631","-0.07294607","-0.06010089","-0.031189196","0.16843173"
"Abiotrophia","-1.7782255","0.0021049317","-0.03020406","0.015470761","-0.10476597","-1.1377643","-0.09840232","-0.13578382","0.016215168","-0.012964466","0.10090171","-0.19094397","0.091821484","-0.07550725","-0.10092744","-0.008057452","-0.040480673","-0.01944603","-0.023636375","0.05633115","-0.0032733073","0.0960419","-0.07420564","0.083511986","-0.19304301","-0.64666325","1.3243496","-0.15319617","-0.7869979","1.0816078","-0.8811961","0.49199206","-1.9422607","-0.2268217","1.2778577","-0.18178588","0.44780457","-0.13177592","-0.38335687","1.0278876","-0.99031854","0.36372754","-0.1059813","-0.17914566","-0.6060956","1.7353169","0.118638046","-0.73547137","0.5775352","-2.075027","-0.09967547","2.339994","1.1464245","-0.3189173","0.05587902","-0.23515888","-1.1310828","0.42348382","0.34674522","-0.050865468","0.5087205","-0.78224707","-0.46141362","0.21304934"
"Absiella innocuum","0.7161735","-0.008484204","-0.047023702","-0.055542435","-0.12044711","-0.033443563","-0.006975537","-0.100166015","0.06360123","-0.031877793","0.016716816","-0.083500825","0.056319937","-0.0675539","-0.17126289","0.1541979","-0.1696439","-0.03342294","-0.13318117","0.0722457","0.054832727","-0.091023676","-0.05101884","-0.0142476745","0.037272092","-0.04870929","0.07565574","-0.14731722","0.04488216","-0.08983319","-0.15623674","-0.091629826","-0.08628","0.022610582","-0.034728993","-0.1330801","0.14379118","-0.07329571","-0.15942529","0.15531218","-0.03331338","-0.097181134","-0.07872592","-0.061387323","-0.023548648","-0.04982573","-0.17129534","-0.11023764","-0.025178673","0.05126087","-0.3496772","-0.16511066","-0.10309476","-0.17375316","-0.120796174","0.22660777","0.07088078","-0.22134466","-0.1390624","0.044291984","-0.15937269","-0.03051706","-0.10636574","0.1847767"
"Acetanaerobacterium elongatum","0.7161578","-0.00863868","-0.045230437","-0.059787624","-0.10707593","-0.038197614","0.049632672","-0.14864084","-0.021650756","0.028104622","0.025678175","-0.13524432","0.069834374","-0.051185228","-0.09971711","-0.024650538","-0.18190989","-0.07630972","-0.07647906","-0.082279146","0.19224934","-0.036895763","0.017357493","0.045499012","0.074309655","-0.07654573","0.050311394","-0.10739155","0.1317521","-0.13820966","-0.14130934","-0.045062594","-0.10984298","-0.04502371","-0.22510651","-0.17166944","0.12477961","-0.008485243","-0.08430167","0.343202","-0.19217809","0.17748915","0.25563565","-0.3134444","-0.5651649","-0.20386572","0.19937305","0.15553954","-0.029110977","-0.35637572","-1.1862495","-0.046451602","0.5806974","-2.735349","-0.11963568","1.0428717","1.6022912","0.0879346","-0.7640008","0.09850219","2.8705957","0.77297163","1.6065667","0.77464503"
"Acetivibrio","-0.23914413","0.0097958045","-0.04176751","-0.051122867","-0.06339826","-0.038917184","0.014915721","-0.10766839","-0.007504044","-0.09493804","0.05402154","-0.033714715","0.10377931","0.058828607","-0.22513843","-0.025617993","-0.09110493","-0.05540853","-0.28534633","0.54731923","-0.35281458","-0.09115539","-0.17590564","0.9983357","-0.63750064","-0.30997342","0.4954396","-0.6463358","-0.031583983","-0.14040226","-0.71485645","-0.23863879","-0.7455551","0.6907793","-1.2059566","-0.7742583","0.84222925","-0.7857946","-1.2166363","0.46872094","2.0651202","11.2161","-0.00479447","3.7488456","2.872845","-1.4902147","-1.5148685","-0.07032992","1.0662802","2.1235769","-2.14307","1.9060025","-3.6541884","0.33929002","5.9909787","0.27428916","-1.0869879","1.6880336","0.70569026","0.21409976","0.452444","0.027384333","0.5654414","-0.3434446"
"Acetonema","0.7295926","4.849507","-0.0841031","-0.07778449","-0.06959968","-0.13277616","0.036960445","-0.1074586","-0.096997336","-0.0033503077","0.03799991","-0.24714933","0.038265564","-0.1981027","-0.2120075","0.05766672","-0.09572685","-0.13534947","-0.27726454","-0.1798653","-0.13485631","0.039908953","-0.3894165","-0.041585088","0.08416104","-0.8086086","-0.6666454","3.7200801","-0.71816766","0.93877226","1.1083348","0.507461","0.39506733","0.2152299","0.16187958","0.41707134","-0.3320044","0.30843914","0.20234163","-0.19306533","0.060385566","0.09572377","-0.015071361","0.18439534","0.25975668","-0.050984513","-0.16234528","0.1933196","0.04177875","-0.045181487","0.1298803","0.18098159","0.14592493","-0.0822166","0.0906643","-0.12647091","-0.07649748","0.119663395","0.104528606","-0.04546293","0.12471898","-0.014543257","-0.01577252","-0.05641713"
"Acholeplasma","0.19349259","-0.015952555","-0.08744679","-0.2941627","-0.03297995","-0.24084726","-0.21464247","-0.24102142","-0.30299425","-0.37720042","-3.9126122","4.5129657","-0.52892405","-3.2706954","-1.2513739","0.9441766","-0.74088943","0.37191352","0.15749805","-0.052680902","0.5921555","-0.5229787","0.09495156","-0.028932186","-0.088972814","0.6115432","-0.104462564","0.06422702","0.2866598","-0.47299054","-0.13661477","-0.28486395","-0.08362612","0.036544565","0.232557","-0.24375519","-0.04484302","0.5185323","0.2483852","-0.27909228","-0.030850278","-0.64003026","0.09414764","0.67289823","0.9600316","-0.8052629","-1.0436821","0.09130241","0.43070334","-1.077734","-0.48708445","0.31665143","-0.01030796","-0.6409657","0.29955867","0.06649261","0.11239655","-0.41808757","0.4495753","-0.2591009","-0.1133146","-0.17850555","-0.569585","-0.19941181"
"Achromobacter","-1.1504436","-0.0056275497","0.029231554","-0.026654236","-0.15488817","-0.0061493437","-0.02430905","-0.136464","0.2722695","0.054640044","0.45860437","-0.0011507866","-0.1712826","0.13376497","0.66942155","0.82969636","-0.49824226","0.3249174","-0.39293396","0.00048694777","4.008102","-0.80267113","0.42305338","0.3259209","0.36664638","-0.8919952","2.9298565","0.6375813","0.86484474","-2.6832685","2.6143796","0.8172172","-0.63238335","-0.87289643","0.95756555","0.010090443","1.4667176","-0.86310464","-1.6546555","-3.4305983","-0.5247551","-0.0674522","-0.22435902","0.3335855","-0.305229","-0.22496846","0.2489184","0.18544972","0.71967083","0.10019853","-0.30339065","-0.1414696","0.3601055","-0.17088266","0.5052219","0.08646182","0.29831287","-0.7469882","-0.23646413","-0.040791523","-0.32287714","-0.48675418","0.41377902","0.07832383"
"Achromobacter xylosoxidans","0.7151849","-0.008212972","-0.027370172","-0.046017457","-0.113815784","-0.021345437","0.018863976","-0.076899916","-0.038788784","0.007013009","0.021157557","-0.11514789","0.070275985","-0.064425595","-0.10839994","-0.010151014","-0.117197245","-0.07948657","-0.13402802","-0.0670001","-0.066096984","0.020790698","-0.0429352","-0.032471444","0.041535843","-0.10131378","-0.060926497","-0.2194523","-0.029452214","-0.058009002","-0.10878903","0.0073776697","-0.08851139","-0.0698619","-0.086385794","-0.086582534","0.14424968","-0.096382305","-0.17265244","0.1719711","-0.074714825","-0.03823213","-0.21740745","0.16072917","-0.113830715","0.368993","-0.05196998","0.10465996","-0.03370649","-0.0800175","-0.28442785","0.0033322354","0.15200016","0.21739818","-0.07246403","0.21574737","0.0029306072","-0.47947526","-0.19078326","0.5530217","-0.04919068","-0.18687673","-0.58372444","0.06540012"
"Acidaminobacter","0.7402086","-0.025436562","-0.29749504","5.9457793","2.0689342","-0.17246947","-0.05899418","0.16735634","0.3551666","0.29691434","-0.18087566","0.40876016","-0.20224433","0.008807535","0.018212255","-0.073632486","-0.058754005","0.20665826","-0.034502167","-0.17548874","0.15969104","0.09421142","-0.029687569","0.004110625","-0.015205576","-0.15023428","0.029127171","-0.056601185","0.075620145","-0.0041966303","-0.21709287","-0.09082203","-0.055114303","0.004608566","-0.033201218","-0.12728919","0.01916762","-0.028768519","-0.1891574","-0.041692514","-0.064005174","-0.12227902","-0.010796246","0.09998812","0.1236039","0.09836341","0.3023524","-0.21606681","-0.018514078","0.34901965","0.06642747","-0.36941573","-0.48387218","0.284428","-0.61564285","0.17009203","-0.8856441","-0.07642896","-0.52488947","-0.14841901","-0.018726863","0.16082302","-0.9436284","-0.9135887"
