"disease","disease_peryton_author_svd64_000","disease_peryton_author_svd64_001","disease_peryton_author_svd64_002","disease_peryton_author_svd64_003","disease_peryton_author_svd64_004","disease_peryton_author_svd64_005","disease_peryton_author_svd64_006","disease_peryton_author_svd64_007","disease_peryton_author_svd64_008","disease_peryton_author_svd64_009","disease_peryton_author_svd64_010","disease_peryton_author_svd64_011","disease_peryton_author_svd64_012","disease_peryton_author_svd64_013","disease_peryton_author_svd64_014","disease_peryton_author_svd64_015","disease_peryton_author_svd64_016","disease_peryton_author_svd64_017","disease_peryton_author_svd64_018","disease_peryton_author_svd64_019","disease_peryton_author_svd64_020","disease_peryton_author_svd64_021","disease_peryton_author_svd64_022","disease_peryton_author_svd64_023","disease_peryton_author_svd64_024","disease_peryton_author_svd64_025","disease_peryton_author_svd64_026","disease_peryton_author_svd64_027","disease_peryton_author_svd64_028","disease_peryton_author_svd64_029","disease_peryton_author_svd64_030","disease_peryton_author_svd64_031","disease_peryton_author_svd64_032","disease_peryton_author_svd64_033","disease_peryton_author_svd64_034","disease_peryton_author_svd64_035","disease_peryton_author_svd64_036","disease_peryton_author_svd64_037","disease_peryton_author_svd64_038","disease_peryton_author_svd64_039","disease_peryton_author_svd64_040","disease_peryton_author_svd64_041","disease_peryton_author_svd64_042","disease_peryton_author_svd64_043","disease_peryton_author_svd64_044","disease_peryton_author_svd64_045","disease_peryton_author_svd64_046","disease_peryton_author_svd64_047","disease_peryton_author_svd64_048","disease_peryton_author_svd64_049","disease_peryton_author_svd64_050","disease_peryton_author_svd64_051","disease_peryton_author_svd64_052","disease_peryton_author_svd64_053","disease_peryton_author_svd64_054","disease_peryton_author_svd64_055","disease_peryton_author_svd64_056","disease_peryton_author_svd64_057","disease_peryton_author_svd64_058","disease_peryton_author_svd64_059","disease_peryton_author_svd64_060","disease_peryton_author_svd64_061","disease_peryton_author_svd64_062","disease_peryton_author_svd64_063"
"AA amyloidosis","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ADHD","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acne","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acquired Immunodeficiency Syndrome","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acute Lymphoblastic Leukemia","7.9783325","-2.7784424","-1.1281501","1.9200777","0.6814477","-1.6987036","-0.21830139","-2.373946","3.396165","0.24426167","-1.4294631","-6.144276","0.6046176","-6.2542157","-3.7043781","4.7187095","17.684324","-10.835229","8.562707","-9.685771","0.26158845","-7.205151","3.0918794","8.407068","-1.1799071","11.182374","-4.2924404","-4.8943667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-4.7463593","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acute cerbral infarction","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acute cholecystitis","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acute fatty liver","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acute lymphoblastic leukemia","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acute skin abscess","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
