"microbe","microbe_peryton_author_svd64_000","microbe_peryton_author_svd64_001","microbe_peryton_author_svd64_002","microbe_peryton_author_svd64_003","microbe_peryton_author_svd64_004","microbe_peryton_author_svd64_005","microbe_peryton_author_svd64_006","microbe_peryton_author_svd64_007","microbe_peryton_author_svd64_008","microbe_peryton_author_svd64_009","microbe_peryton_author_svd64_010","microbe_peryton_author_svd64_011","microbe_peryton_author_svd64_012","microbe_peryton_author_svd64_013","microbe_peryton_author_svd64_014","microbe_peryton_author_svd64_015","microbe_peryton_author_svd64_016","microbe_peryton_author_svd64_017","microbe_peryton_author_svd64_018","microbe_peryton_author_svd64_019","microbe_peryton_author_svd64_020","microbe_peryton_author_svd64_021","microbe_peryton_author_svd64_022","microbe_peryton_author_svd64_023","microbe_peryton_author_svd64_024","microbe_peryton_author_svd64_025","microbe_peryton_author_svd64_026","microbe_peryton_author_svd64_027","microbe_peryton_author_svd64_028","microbe_peryton_author_svd64_029","microbe_peryton_author_svd64_030","microbe_peryton_author_svd64_031","microbe_peryton_author_svd64_032","microbe_peryton_author_svd64_033","microbe_peryton_author_svd64_034","microbe_peryton_author_svd64_035","microbe_peryton_author_svd64_036","microbe_peryton_author_svd64_037","microbe_peryton_author_svd64_038","microbe_peryton_author_svd64_039","microbe_peryton_author_svd64_040","microbe_peryton_author_svd64_041","microbe_peryton_author_svd64_042","microbe_peryton_author_svd64_043","microbe_peryton_author_svd64_044","microbe_peryton_author_svd64_045","microbe_peryton_author_svd64_046","microbe_peryton_author_svd64_047","microbe_peryton_author_svd64_048","microbe_peryton_author_svd64_049","microbe_peryton_author_svd64_050","microbe_peryton_author_svd64_051","microbe_peryton_author_svd64_052","microbe_peryton_author_svd64_053","microbe_peryton_author_svd64_054","microbe_peryton_author_svd64_055","microbe_peryton_author_svd64_056","microbe_peryton_author_svd64_057","microbe_peryton_author_svd64_058","microbe_peryton_author_svd64_059","microbe_peryton_author_svd64_060","microbe_peryton_author_svd64_061","microbe_peryton_author_svd64_062","microbe_peryton_author_svd64_063"
"ACK M1","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Abiotrophia","0.6817902","-0.7794303","2.1381924","0.0023785008","1.0685899","0.14983664","1.7768152","-1.5786294","0.0032929413","-0.0327993","1.1420673","0.115753606","-0.2997513","0.41218147","0.81356436","-0.112348996","2.4831781","6.955387","-0.90796524","-0.22620307","0.53698915","1.3372977","1.9033234","-0.5743747","0.049313016","0.81553924","-0.7177217","1.6108537","0.3698321","0.97511405","-0.9543447","2.4519224","-1.5786976","7.564072","0.43838364","1.5099924","-3.944458","-0.17394924","3.8902638","-1.577988","-2.5772707","-4.5089054","3.7888982","2.7687297","-0.5524","-1.280907","-1.2911592","-1.424572","-4.9024453","-0.2340064","-0.5108409","1.208047","2.1662045","0.9659219","-0.6956429","0.4825685","3.2452521","-0.58680886","0.9914838","1.9603488","1.7508113","-2.1924102","3.7424777","0.7080228"
"Absiella innocuum","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acetanaerobacterium elongatum","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acetivibrio","2.1122503","2.1841342","-3.28382","-0.27799594","-1.1679417","-0.14053887","2.413158","-1.2370946","-0.48627195","0.11029925","0.83281946","0.11343627","-2.2353966","0.58576196","0.7823917","1.3205237","-0.12423534","-0.0062829624","0.48472816","0.5183956","-0.11987586","0.30964193","0.67585355","-0.4470535","0.5671485","-0.023035763","-0.6177397","-0.22331655","0.18497558","-0.18576077","-0.75201565","0.27011856","-0.861304","-0.8500747","-0.9583866","0.15094037","-0.82006246","0.560107","-0.52085435","-0.8369091","-0.6405594","0.19751218","0.19828361","0.40042073","-0.26424214","-0.6499176","0.09233844","-0.007689414","-0.10415073","0.3351113","0.15248948","0.24198677","0.06838035","-0.6870738","-0.11952872","0.0742572","-0.47683647","-0.15841745","-0.15260258","0.2237748","0.048001435","0.22645259","0.02543065","-0.17959398"
"Acetonema","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acholeplasma","0.6872506","0.11709986","0.33744392","-0.1421843","-0.21205473","0.04208056","0.7777696","3.5362356","0.77060455","-1.6174077","4.490734","-0.96304667","1.7905847","-3.0363977","4.3790708","0.011159765","-1.595519","0.44918513","-0.0014465479","0.34518355","-0.3648235","-0.14212914","-0.029403994","-0.32746738","0.14660679","0.22989513","0.3498353","-0.27206254","0.35248202","0.32766026","-0.98471755","0.5266859","-1.0617218","0.12944905","3.1105766","0.061881907","2.5522733","1.0406483","-0.47979072","1.6229616","-3.0584693","1.1792886","-3.8271317","-1.4448253","0.15820372","-1.7857084","-2.2437708","0.11653099","1.6836579","0.7407074","-0.90558684","-0.5732708","-1.0092691","0.056485243","-1.4868268","0.531151","2.9040608","0.100647636","-3.0361345","0.7396607","-2.1993492","-2.4449396","-2.6892498","-0.3329305"
"Achromobacter","0.4570707","1.1115516","-1.7992027","-0.17396347","2.701002","-0.00381155","0.6035821","-0.63159263","0.16604334","0.25275713","0.20072009","-0.9759106","4.1843643","-3.6534262","2.5314267","0.05411873","-2.441364","1.1823567","2.086191","5.1964927","-0.40470278","0.24428749","0.38797972","-0.1378539","0.5588684","0.15637057","0.6784545","0.7794653","-0.21083002","0.44773945","-0.9481327","-0.12681842","-0.9706492","2.2860045","3.0362833","-1.0522655","7.5055137","1.5676749","1.6455684","-5.450749","-0.43253562","1.5242156","-1.2255692","4.00078","-6.8498116","8.0967455","-0.6042827","2.886197","-2.4807982","-3.3019717","1.3822457","-1.8603789","0.23308389","-2.246445","1.4425651","2.3005803","-3.2682514","1.4398857","-1.5771257","-4.9005094","2.8787649","-0.18801679","1.462364","1.0475923"
"Achromobacter xylosoxidans","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acidaminobacter","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
