entity_type,name
microbe,ACK M1
microbe,Abiotrophia
microbe,Achromobacter
microbe,Achromobacter xylosoxidans
microbe,Acidaminococcaceae
microbe,Acidaminococcus
microbe,Acidimicrobiales
microbe,Acidobacteria
microbe,Acidovorax
microbe,Acinetobacter
microbe,Acinetobacter johnsonii
microbe,Actinobacillus
microbe,Actinobacillus actinomycetemcomitans serotype a
microbe,Actinobacteria
microbe,Actinomyces
microbe,Actinomyces odontolyticus
microbe,Actinomyces sp.
microbe,Actinomycetales
microbe,Adlercreutzia
microbe,Adlercreutzia equolifaciens
microbe,Adlercreutzia spp
microbe,Aeromonas
microbe,Agarivorans gilvus
microbe,Agathobacter_uc
microbe,Aggregatibacter
microbe,Aggregatibacter actinomycetemcomitans
microbe,Aggregatibacter segnis
microbe,Agrococcus
microbe,Akkermansia
microbe,Akkermansia muciniphila
microbe,Akkermansia muciniphilia
microbe,Akkermansia muciniphyla
microbe,Akkermansia mucinphila
microbe,Akkermansia municiphila
microbe,Akkermansia sp
microbe,Akkermansia spp
microbe,Akkermansia spp.
microbe,Akkermansiaceae
microbe,Alcaligenaceae
microbe,Alcaligeneaceae
microbe,Alistipes
microbe,Alistipes indistinctus
microbe,Alistipes shahii
microbe,Alistipes spp
microbe,Alkaliphilus
microbe,Alkanindiges
microbe,Allobaculum
microbe,Allobaculum spp
microbe,Allobaculum spp.
microbe,Allobaculum-like bacteria
microbe,Alloprevotella
microbe,Alphaproteobacteria
microbe,Alpinimonas
microbe,Altered bacterial composition
microbe,Alternaria brassicicola
microbe,Alteromonas
microbe,Ammoniphilus spp.
microbe,Amoxicillin-Clavulanate
microbe,Anaerococcus
microbe,Anaerococcus tetradius
microbe,Anaerofustis
microbe,Anaeroglobus
microbe,Anaerostipes
microbe,Anaerostipes hadrus
microbe,Anaerotruncus
microbe,Anoxybacillus
microbe,Aquabacterium
microbe,Arcobacter
microbe,Aspergillus clavatus
microbe,Atopobium
microbe,Atopobium parvulum
microbe,Atopobium sp.
microbe,Atopobium spp.
microbe,Atopobium vaginae
microbe,Bacilli
microbe,Bacillus
microbe,Bacillus clausii
microbe,Bacillus spp
microbe,Bacillus spp.
microbe,Bacillus subtilis
microbe,Bacteria typically residing in the lumen of healthy individuals
microbe,Bacteria typically residing on the mucosa of healthy individuals
microbe,Bacteriodes massiliensis
microbe,Bacteriodetes
microbe,Bacterioides
microbe,Bacteroidaceae
microbe,Bacteroidales
microbe,Bacteroidales Incertae Sedis
microbe,Bacteroidales S24-7
microbe,Bacteroidales_S24-7_group
microbe,Bacteroides
microbe,Bacteroides acidifaciens
microbe,Bacteroides coprocola
